year	month	day	hour	minute	sec	lat	lon	depth	mag
2021	 1	 2	03	03	15.0	 10.189	 -61.899	 52.1	3.1
2021	 1	 3	13	42	19.6	 11.046	 -62.279	 33.7	3.1
2021	 1	 5	22	13	43.1	 11.265	 -61.889	 35.1	3.1
2021	 1	 6	02	35	44.8	 10.226	 -62.161	 17.5	4.5
2021	 1	10	16	47	58.1	 10.654	 -61.937	 74.9	3.4
2021	 1	12	07	50	41.1	 10.366	 -62.874	 30.8	3.2
2021	 1	14	14	45	12.4	 10.619	 -62.801	 14.6	4.2
2021	 1	17	21	38	37.4	 10.691	 -62.480	 26.8	3.3
2021	 1	17	21	56	49.6	 10.130	 -62.457	 24.1	3.3
2021	 1	22	23	42	42.6	 10.114	 -62.074	  5.0	3.2
2021	 1	23	00	52	55.3	 10.491	 -62.068	169.1	3.3
2021	 1	25	05	35	44.3	 10.434	 -61.770	 22.8	3.9
2021	 1	27	22	23	20.1	 10.861	 -62.192	 29.4	3.7
2021	 1	28	04	24	 5.2	 10.309	 -62.047	  2.8	3.8
2021	 1	28	18	40	36.0	 10.605	 -62.396	 26.9	3.7
2021	 1	28	23	08	25.0	 10.199	 -62.088	 23.5	3.0
2021	 1	30	05	44	56.3	 10.672	 -62.591	 29.5	3.8
2021	 2	 3	16	15	17.7	 10.367	 -61.898	  8.8	3.4
2021	 2	 9	02	15	47.5	 11.246	 -60.891	 33.7	4.2
2021	 2	12	02	11	43.1	 10.231	 -62.962	  5.0	3.4
2021	 2	12	12	27	 0.0	 10.664	 -62.528	  9.3	3.1
2021	 2	21	22	40	46.8	 10.382	 -62.617	 18.5	3.1
2021	 2	28	02	00	29.0	 10.252	 -62.134	 13.0	3.7
2021	 3	 1	04	15	32.8	 10.205	 -61.392	 82.5	3.3
2021	 3	 6	04	03	52.4	 11.092	 -62.366	 15.1	2.9
2021	 3	11	09	51	20.5	 10.556	 -62.439	 25.5	3.8
2021	 3	12	19	37	14.2	 10.156	 -62.633	 16.0	3.2
2021	 3	15	06	47	35.1	 10.987	 -60.833	 91.2	2.8
2021	 3	15	11	11	45.3	 11.028	 -61.440	 52.8	3.4
2021	 3	16	22	47	 4.7	 11.493	 -62.228	  4.7	3.3
2021	 3	17	08	18	 2.8	 10.863	 -62.304	 24.8	3.6
2021	 3	18	17	25	16.4	 10.112	 -62.011	  6.0	3.5
2021	 3	20	00	59	17.6	 10.827	 -62.285	 31.3	3.5
2021	 3	20	17	10	59.1	 10.244	 -62.465	 13.2	4.3
2021	 3	25	06	48	18.1	 10.512	 -62.772	  1.8	3.9
2021	 3	25	06	48	22.0	 10.629	 -62.836	 34.5	4.1
2021	 3	27	20	32	 1.5	 10.864	 -62.291	 32.8	3.5
2021	 3	28	03	50	38.3	 11.123	 -62.229	 18.1	4.0
2021	 3	30	06	12	 3.3	 10.828	 -63.670	 16.9	2.4
2021	 4	 3	03	09	 6.7	 10.929	 -62.306	 22.5	3.6
2021	 4	 5	01	14	37.9	 10.354	 -61.711	 10.1	3.2
